Ticker,Name,Close,Open,High,Low,Volume
G13.SI,GENTING SING,1.04,1.06,1.06,1.04,36989500
Z74.SI,SINGTEL,3.09,3.07,3.11,3.07,21677900
D05.SI,DBS,25.17,25.26,25.26,24.98,3196800
G3B.SI,NIKKO AM STI ETF,3.33,3.35,3.35,3.33,27500
CJLU.SI,NETLINK NBN TRUST,0.8,0.795,0.8,0.795,5967600
H17.SI,HI-P,1.34,1.24,1.43,1.22,25744100
AWX.SI,AEM,1.1,1.06,1.13,1.04,32732800
558.SI,UMS,0.73,0.705,0.74,0.7,11134100
BHQ.SI,SUNNINGDALE TECH,1.63,1.61,1.65,1.59,681300
5ME.SI,EZION,0.043,0.043,0.044,0.043,22336000
5CP.SI,SILVERLAKE AXIS,0.55,0.535,0.555,0.53,7141700
5WE.SI,MOYA ASIA,0.081,0.083,0.083,0.081,932800
CEE.SI,CITIC ENVIROTECH,0.44,0.445,0.455,0.435,2908700
AU8U.SI,CAPITALAND RETAIL CHINA TRUST,1.44,1.43,1.45,1.43,1363400
ND8U.SI,FRASERS COMMERICAL TRUST,1.49,1.49,1.5,1.48,1121300
K2LU.SI,CACHE LOGISTICS TRUST,0.72,0.715,0.72,0.71,2635700
O5RU.SI,AIMS AMP CAP INDUSTRIAL REIT ,1.39,1.39,1.39,1.37,305700
BUOU.SI,FRASERS LOGISTIC & INDUSTRIAL TRUST,1.11,1.1,1.11,1.09,3767400
A17U.SI,ASCENDAS REAL ESTATE INVESTMENT TRUST,2.81,2.82,2.82,2.79,6468400
N2IU.SI,MAPLETREE COMMERICAL TRUST,1.79,1.77,1.8,1.77,7736700
ME8U.SI,MAPLETREE INDUSTRIAL TRUST,2.0,1.99,2.0,1.98,4242900
M44U.SI,MAPLETREE LOGISTIC TRUST,1.39,1.4,1.4,1.38,6903900
RW0U.SI,MAPLETREE NORTH ASIA COMMERICAL TRUST,1.26,1.25,1.26,1.24,4826900
T82U.SI,SUNTEC REAL ESTATE INVESTMENT TRUST,1.92,1.93,1.94,1.92,5055400
P40U.SI,STARHILL GLOBAL REAL ESTATE INVESTMENT TRUST,0.7,0.7,0.7,0.695,935100
CRPU.SI,SASSEUR REIT,0.775,0.775,0.78,0.77,10382100
