Ticker,Name,Close,Open,High,Low,Volume
G13.SI,GENTING SING,1.04,1.06,1.06,1.04,21024400
Z74.SI,SINGTEL,3.08,3.07,3.09,3.07,8391800
D05.SI,DBS,25.17,25.26,25.26,24.98,1766400
G3B.SI,NIKKO AM STI ETF,3.33,3.35,3.35,3.33,25500
CJLU.SI,NETLINK NBN TRUST,0.795,0.795,0.8,0.795,1368800
H17.SI,HI-P,1.35,1.24,1.36,1.22,15684300
AWX.SI,AEM,1.12,1.06,1.12,1.04,19128400
558.SI,UMS,0.725,0.705,0.73,0.7,6028700
BHQ.SI,SUNNINGDALE TECH,1.63,1.61,1.65,1.59,447000
5ME.SI,EZION,0.043,0.043,0.044,0.043,7977900
5CP.SI,SILVERLAKE AXIS,0.535,0.535,0.54,0.53,1127900
5WE.SI,MOYA ASIA,0.082,0.083,0.083,0.081,329800
CEE.SI,CITIC ENVIROTECH,0.45,0.445,0.455,0.445,875300
AU8U.SI,CAPITALAND RETAIL CHINA TRUST,1.45,1.43,1.45,1.43,1268300
ND8U.SI,FRASERS COMMERICAL TRUST,1.49,1.49,1.5,1.48,526600
K2LU.SI,CACHE LOGISTICS TRUST,0.715,0.715,0.72,0.71,1208900
O5RU.SI,AIMS AMP CAP INDUSTRIAL REIT ,1.38,1.39,1.39,1.38,181900
BUOU.SI,FRASERS LOGISTIC & INDUSTRIAL TRUST,1.11,1.1,1.11,1.09,919100
A17U.SI,ASCENDAS REAL ESTATE INVESTMENT TRUST,2.81,2.82,2.82,2.79,3019500
N2IU.SI,MAPLETREE COMMERICAL TRUST,1.8,1.77,1.8,1.77,4495200
ME8U.SI,MAPLETREE INDUSTRIAL TRUST,1.99,1.99,2.0,1.98,3000900
M44U.SI,MAPLETREE LOGISTIC TRUST,1.4,1.4,1.4,1.39,1771500
RW0U.SI,MAPLETREE NORTH ASIA COMMERICAL TRUST,1.26,1.25,1.26,1.24,3632000
T82U.SI,SUNTEC REAL ESTATE INVESTMENT TRUST,1.93,1.93,1.94,1.92,2953200
P40U.SI,STARHILL GLOBAL REAL ESTATE INVESTMENT TRUST,0.7,0.7,0.7,0.695,668900
CRPU.SI,SASSEUR REIT,0.775,0.775,0.78,0.77,713700
