Ticker,Name,Close,Open,High,Low,Volume
G13.SI,GENTING SING,1.07,1.08,1.09,1.06,69480500
Z74.SI,SINGTEL,3.07,3.05,3.07,3.04,15859200
D05.SI,DBS,25.01,24.7,25.07,24.7,4219570
G3B.SI,NIKKO AM STI ETF,3.34,3.34,3.35,3.34,842600
CJLU.SI,NETLINK NBN TRUST,0.795,0.8,0.8,0.795,3717400
H17.SI,HI-P,1.14,1.04,1.17,1.03,34890900
AWX.SI,AEM,1.07,1.02,1.09,1.02,23361600
558.SI,UMS,0.705,0.675,0.715,0.675,8624900
BHQ.SI,SUNNINGDALE TECH,1.62,1.56,1.63,1.56,1211100
5ME.SI,EZION,0.044,0.042,0.044,0.042,40103600
5CP.SI,SILVERLAKE AXIS,0.535,0.535,0.54,0.53,2161100
5WE.SI,MOYA ASIA,0.082,0.083,0.083,0.082,2541100
CEE.SI,CITIC ENVIROTECH,0.46,0.47,0.47,0.45,2247200
AU8U.SI,CAPITALAND RETAIL CHINA TRUST,1.45,1.46,1.46,1.43,1936900
ND8U.SI,FRASERS COMMERICAL TRUST,1.49,1.47,1.49,1.46,2818200
K2LU.SI,CACHE LOGISTICS TRUST,0.72,0.715,0.72,0.71,1654100
O5RU.SI,AIMS AMP CAP INDUSTRIAL REIT ,1.38,1.38,1.39,1.37,414000
BUOU.SI,FRASERS LOGISTIC & INDUSTRIAL TRUST,1.1,1.09,1.11,1.09,6029100
A17U.SI,ASCENDAS REAL ESTATE INVESTMENT TRUST,2.8,2.78,2.82,2.78,9717900
N2IU.SI,MAPLETREE COMMERICAL TRUST,1.79,1.76,1.79,1.75,7960400
ME8U.SI,MAPLETREE INDUSTRIAL TRUST,2.0,1.99,2.0,1.98,5905400
M44U.SI,MAPLETREE LOGISTIC TRUST,1.4,1.39,1.4,1.37,21019700
RW0U.SI,MAPLETREE NORTH ASIA COMMERICAL TRUST,1.24,1.24,1.25,1.22,14801300
T82U.SI,SUNTEC REAL ESTATE INVESTMENT TRUST,1.92,1.91,1.93,1.91,4694200
P40U.SI,STARHILL GLOBAL REAL ESTATE INVESTMENT TRUST,0.7,0.7,0.705,0.695,1119300
CRPU.SI,SASSEUR REIT,0.77,0.765,0.77,0.76,1799600
