Ticker,Name,Close,Open,High,Low,Volume
G13.SI,GENTING SING,1.04,1.04,1.07,1.03,42791900
Z74.SI,SINGTEL,3.02,3.08,3.1,3.02,24645500
D05.SI,DBS,25.15,25.05,25.4,25.02,3894500
G3B.SI,NIKKO AM STI ETF,3.32,3.34,3.34,3.32,125300
CJLU.SI,NETLINK NBN TRUST,0.795,0.795,0.8,0.795,2997100
H17.SI,HI-P,1.38,1.35,1.42,1.35,11775100
AWX.SI,AEM,1.13,1.11,1.15,1.11,22215100
558.SI,UMS,0.74,0.735,0.75,0.73,7590200
BHQ.SI,SUNNINGDALE TECH,1.64,1.64,1.67,1.63,1103100
5ME.SI,EZION,0.043,0.043,0.043,0.043,0
5CP.SI,SILVERLAKE AXIS,0.57,0.545,0.575,0.545,11751900
5WE.SI,MOYA ASIA,0.081,0.081,0.081,0.08,3497800
CEE.SI,CITIC ENVIROTECH,0.44,0.425,0.45,0.41,7441700
AU8U.SI,CAPITALAND RETAIL CHINA TRUST,1.44,1.45,1.46,1.44,1031900
ND8U.SI,FRASERS COMMERICAL TRUST,1.48,1.48,1.5,1.48,1216400
K2LU.SI,CACHE LOGISTICS TRUST,0.715,0.715,0.72,0.71,2455600
O5RU.SI,AIMS AMP CAP INDUSTRIAL REIT ,1.39,1.38,1.41,1.38,1282200
BUOU.SI,FRASERS LOGISTIC & INDUSTRIAL TRUST,1.09,1.11,1.11,1.09,4675600
A17U.SI,ASCENDAS REAL ESTATE INVESTMENT TRUST,2.81,2.81,2.84,2.79,7919000
N2IU.SI,MAPLETREE COMMERICAL TRUST,1.78,1.79,1.8,1.77,7311600
ME8U.SI,MAPLETREE INDUSTRIAL TRUST,2.0,2.0,2.02,1.99,3923400
M44U.SI,MAPLETREE LOGISTIC TRUST,1.39,1.39,1.41,1.39,14274300
RW0U.SI,MAPLETREE NORTH ASIA COMMERICAL TRUST,1.25,1.25,1.27,1.25,8226400
T82U.SI,SUNTEC REAL ESTATE INVESTMENT TRUST,1.92,1.93,1.96,1.92,8017700
P40U.SI,STARHILL GLOBAL REAL ESTATE INVESTMENT TRUST,0.69,0.695,0.7,0.68,8115900
CRPU.SI,SASSEUR REIT,0.77,0.775,0.78,0.765,1789900
