Ticker,Name,Close,Open,High,Low,Volume
G13.SI,GENTING SING,1.11,1.11,1.12,1.09,41208700
Z74.SI,SINGTEL,3.06,3.05,3.07,3.03,15440600
D05.SI,DBS,24.81,24.81,25.0,24.7,5993300
G3B.SI,NIKKO AM STI ETF,3.36,3.37,3.37,3.33,28200
CJLU.SI,NETLINK NBN TRUST,0.8,0.795,0.805,0.795,2448800
H17.SI,HI-P,1.05,1.0,1.06,0.985,9846600
AWX.SI,AEM,1.02,1.01,1.03,0.995,10876200
558.SI,UMS,0.68,0.68,0.685,0.67,4530600
BHQ.SI,SUNNINGDALE TECH,1.57,1.55,1.58,1.55,183900
5ME.SI,EZION,0.042,0.044,0.044,0.042,21763000
5CP.SI,SILVERLAKE AXIS,0.535,0.55,0.55,0.53,5006300
5WE.SI,MOYA ASIA,0.082,0.083,0.084,0.082,2347500
CEE.SI,CITIC ENVIROTECH,0.465,0.47,0.48,0.46,2983600
AU8U.SI,CAPITALAND RETAIL CHINA TRUST,1.45,1.45,1.46,1.44,1390800
ND8U.SI,FRASERS COMMERICAL TRUST,1.48,1.48,1.5,1.47,1514500
K2LU.SI,CACHE LOGISTICS TRUST,0.715,0.72,0.72,0.715,1670400
O5RU.SI,AIMS AMP CAP INDUSTRIAL REIT ,1.39,1.39,1.39,1.38,47100
BUOU.SI,FRASERS LOGISTIC & INDUSTRIAL TRUST,1.08,1.11,1.11,1.08,9637500
A17U.SI,ASCENDAS REAL ESTATE INVESTMENT TRUST,2.78,2.78,2.8,2.77,9432400
N2IU.SI,MAPLETREE COMMERICAL TRUST,1.76,1.78,1.79,1.76,6162400
ME8U.SI,MAPLETREE INDUSTRIAL TRUST,1.99,1.99,2.0,1.98,3293000
M44U.SI,MAPLETREE LOGISTIC TRUST,1.38,1.38,1.39,1.38,8184600
RW0U.SI,MAPLETREE NORTH ASIA COMMERICAL TRUST,1.24,1.26,1.26,1.24,7810400
T82U.SI,SUNTEC REAL ESTATE INVESTMENT TRUST,1.91,1.92,1.93,1.9,5651900
P40U.SI,STARHILL GLOBAL REAL ESTATE INVESTMENT TRUST,0.7,0.705,0.705,0.695,2184100
CRPU.SI,SASSEUR REIT,0.755,0.78,0.78,0.75,1982400
