Ticker,Name,Close,Open,High,Low,Volume
G13.SI,GENTING SING,1.1,1.09,1.11,1.09,24798700
Z74.SI,SINGTEL,3.0,3.0,3.01,2.98,11420000
D05.SI,DBS,25.2,25.0,25.29,24.89,5147100
G3B.SI,NIKKO AM STI ETF,3.35,3.33,3.35,3.33,409000
CJLU.SI,NETLINK NBN TRUST,0.8,0.8,0.805,0.8,2097600
H17.SI,HI-P,0.99,1.02,1.03,0.99,4122100
AWX.SI,AEM,1.0,1.03,1.04,1.0,5498200
558.SI,UMS,0.66,0.675,0.68,0.66,2612300
BHQ.SI,SUNNINGDALE TECH,1.55,1.57,1.58,1.55,249100
5ME.SI,EZION,0.043,0.045,0.045,0.043,31891000
5CP.SI,SILVERLAKE AXIS,0.55,0.55,0.555,0.54,2909900
5WE.SI,MOYA ASIA,0.082,0.082,0.083,0.081,2498300
CEE.SI,CITIC ENVIROTECH,0.45,0.46,0.465,0.44,1471500
AU8U.SI,CAPITALAND RETAIL CHINA TRUST,1.44,1.43,1.45,1.42,1966300
ND8U.SI,FRASERS COMMERICAL TRUST,1.49,1.48,1.5,1.47,1884500
K2LU.SI,CACHE LOGISTICS TRUST,0.715,0.715,0.72,0.71,1141500
O5RU.SI,AIMS AMP CAP INDUSTRIAL REIT ,1.38,1.38,1.38,1.37,119700
BUOU.SI,FRASERS LOGISTIC & INDUSTRIAL TRUST,1.11,1.11,1.11,1.1,1792200
A17U.SI,ASCENDAS REAL ESTATE INVESTMENT TRUST,2.77,2.77,2.79,2.75,10299300
N2IU.SI,MAPLETREE COMMERICAL TRUST,1.78,1.79,1.8,1.77,5267000
ME8U.SI,MAPLETREE INDUSTRIAL TRUST,1.99,1.98,2.01,1.98,4747000
M44U.SI,MAPLETREE LOGISTIC TRUST,1.39,1.39,1.4,1.38,17083600
RW0U.SI,MAPLETREE NORTH ASIA COMMERICAL TRUST,1.25,1.24,1.26,1.24,6736900
T82U.SI,SUNTEC REAL ESTATE INVESTMENT TRUST,1.91,1.91,1.92,1.9,5064400
P40U.SI,STARHILL GLOBAL REAL ESTATE INVESTMENT TRUST,0.69,0.695,0.695,0.685,2356300
CRPU.SI,SASSEUR REIT,0.71,0.7,0.715,0.7,860300
