Ticker,Name,Close,Open,High,Low,Volume
G13.SI,GENTING SING,1.1,1.1,1.11,1.09,24973100
Z74.SI,SINGTEL,3.05,3.02,3.06,3.0,22032700
D05.SI,DBS,25.08,25.23,25.3,25.05,3509000
G3B.SI,NIKKO AM STI ETF,3.35,3.35,3.35,3.34,26000
CJLU.SI,NETLINK NBN TRUST,0.795,0.8,0.805,0.795,4374700
H17.SI,HI-P,0.995,0.985,1.01,0.985,4231500
AWX.SI,AEM,1.01,0.995,1.01,0.995,4823300
558.SI,UMS,0.675,0.675,0.685,0.675,2396700
BHQ.SI,SUNNINGDALE TECH,1.55,1.55,1.56,1.53,103600
5ME.SI,EZION,0.043,0.043,0.044,0.042,24207900
5CP.SI,SILVERLAKE AXIS,0.55,0.54,0.56,0.535,4530200
5WE.SI,MOYA ASIA,0.083,0.082,0.084,0.082,7830700
CEE.SI,CITIC ENVIROTECH,0.47,0.46,0.475,0.455,4133700
AU8U.SI,CAPITALAND RETAIL CHINA TRUST,1.45,1.44,1.45,1.43,1251300
ND8U.SI,FRASERS COMMERICAL TRUST,1.49,1.48,1.49,1.47,650300
K2LU.SI,CACHE LOGISTICS TRUST,0.72,0.715,0.725,0.715,2594300
O5RU.SI,AIMS AMP CAP INDUSTRIAL REIT ,1.39,1.38,1.39,1.37,136600
BUOU.SI,FRASERS LOGISTIC & INDUSTRIAL TRUST,1.11,1.12,1.13,1.1,13684100
A17U.SI,ASCENDAS REAL ESTATE INVESTMENT TRUST,2.77,2.79,2.8,2.77,13983100
N2IU.SI,MAPLETREE COMMERICAL TRUST,1.78,1.78,1.79,1.77,5353100
ME8U.SI,MAPLETREE INDUSTRIAL TRUST,1.98,1.98,1.99,1.97,4433800
M44U.SI,MAPLETREE LOGISTIC TRUST,1.39,1.38,1.39,1.37,20086600
RW0U.SI,MAPLETREE NORTH ASIA COMMERICAL TRUST,1.25,1.24,1.25,1.24,5250300
T82U.SI,SUNTEC REAL ESTATE INVESTMENT TRUST,1.92,1.91,1.92,1.9,5251000
P40U.SI,STARHILL GLOBAL REAL ESTATE INVESTMENT TRUST,0.705,0.7,0.705,0.695,1669800
CRPU.SI,SASSEUR REIT,0.77,0.745,0.78,0.745,2093800
